Subj,ShapeNameC,ShapeColorC,Condition,Trial,TrialBin,ResponseTime,bodyShape,Response,Correct,totalCorrect,NoticedColorStr,NoticedColorC
2,0.5,-0.5,2,197,5,584,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,198,5,584,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,199,5,1080,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,200,5,1141,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,201,6,752,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,202,6,745,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,203,6,659,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,204,6,849,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,205,6,550,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,206,6,664,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,207,6,485,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,208,6,600,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,209,6,695,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,210,6,627,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,211,6,514,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,212,6,437,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,213,6,635,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,214,6,649,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,215,6,710,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,216,6,593,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,217,6,561,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,218,6,562,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,219,6,596,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,220,6,788,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,221,6,588,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,222,6,523,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,223,6,654,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,224,6,539,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,225,6,477,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,226,6,610,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,227,6,689,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,228,6,525,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,229,6,1247,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,230,6,661,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,231,6,786,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,232,6,618,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,233,6,457,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,234,6,494,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,235,6,530,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,236,6,548,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,237,6,502,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,238,6,505,2,2,1,235,noticers,0.5
2,0.5,-0.5,2,239,6,605,1,1,1,235,noticers,0.5
2,0.5,-0.5,2,240,6,748,2,2,1,235,noticers,0.5
3,-0.5,0.5,3,1,1,1991,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,2,1,895,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,3,1,1010,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,4,1,2769,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,5,1,2379,2,2,0,234,noticers,0.5
3,-0.5,0.5,3,6,1,932,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,7,1,950,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,8,1,760,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,9,1,1792,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,10,1,849,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,11,1,1127,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,12,1,1569,1,1,0,234,noticers,0.5
3,-0.5,0.5,3,13,1,762,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,14,1,724,1,2,1,234,noticers,0.5
3,-0.5,0.5,3,15,1,525,2,2,0,234,noticers,0.5
3,-0.5,0.5,3,16,1,864,2,1,1,234,noticers,0.5
3,-0.5,0.5,3,17,1,485,1,2,1,234,noticers,0.5
