Subj,Ratings,ColorID,Sat.Light,Warmness,WarmnessC,NameStr,NameC
273,0.74,B,1,2,-1,FILK,0.5
273,0.74,B,1,2,-1,FILK,0.5
248,0.4925,B,2,2,-1,FILK,0.5
248,0.4925,B,2,2,-1,FILK,0.5
248,0.4925,B,2,2,-1,FILK,0.5
248,0.4925,B,2,2,-1,FILK,0.5
276,0.415,B,1,2,-1,SLUB,-0.5
276,0.415,B,1,2,-1,SLUB,-0.5
276,0.415,B,1,2,-1,SLUB,-0.5
276,0.415,B,1,2,-1,SLUB,-0.5
232,0.35875,B,2,2,-1,SLUB,-0.5
232,0.35875,B,2,2,-1,SLUB,-0.5
232,0.35875,B,2,2,-1,SLUB,-0.5
232,0.35875,B,2,2,-1,SLUB,-0.5
228,0.2525,B,3,2,-1,SLUB,-0.5
228,0.2525,B,3,2,-1,SLUB,-0.5
228,0.2525,B,3,2,-1,SLUB,-0.5
228,0.2525,B,3,2,-1,SLUB,-0.5
237,0.48125,B,1,2,-1,FILK,0.5
237,0.48125,B,1,2,-1,FILK,0.5
237,0.48125,B,1,2,-1,FILK,0.5
237,0.48125,B,1,2,-1,FILK,0.5
243,0.6975,B,4,2,-1,SLUB,-0.5
243,0.6975,B,4,2,-1,SLUB,-0.5
243,0.6975,B,4,2,-1,SLUB,-0.5
243,0.6975,B,4,2,-1,SLUB,-0.5
256,0.6975,B,1,2,-1,FILK,0.5
256,0.6975,B,1,2,-1,FILK,0.5
256,0.6975,B,1,2,-1,FILK,0.5
256,0.6975,B,1,2,-1,FILK,0.5
273,0.535,B,2,2,-1,FILK,0.5
273,0.535,B,2,2,-1,FILK,0.5
273,0.535,B,2,2,-1,FILK,0.5
273,0.535,B,2,2,-1,FILK,0.5
248,0.3275,B,3,2,-1,FILK,0.5
248,0.3275,B,3,2,-1,FILK,0.5
248,0.3275,B,3,2,-1,FILK,0.5
248,0.3275,B,3,2,-1,FILK,0.5
276,0.41875,B,2,2,-1,SLUB,-0.5
276,0.41875,B,2,2,-1,SLUB,-0.5
276,0.41875,B,2,2,-1,SLUB,-0.5
276,0.41875,B,2,2,-1,SLUB,-0.5
