Subj,TypicalityStr,TypicalityC,Trial,TrialBin,stimulus,Correct,totalCorrect,NoticedColor,UsedColor
13851,Saw NP,-0.5,722,6,img/1/Curvy-18.png,1,176,0,0
13937,Saw P,0.5,722,6,img/0/Curvy-8.png,1,169,0,1
14160,Saw NP,-0.5,722,6,img/1/Curvy-44.png,1,178,0,0
14225,Saw NP,-0.5,722,6,img/1/Curvy-83.png,1,166,0,0
14545,Saw NP,-0.5,722,6,img/1/Point-31.png,1,174,0,0
14903,Saw P,0.5,722,6,img/0/Point-12.png,1,174,1,0
15302,Saw NP,-0.5,722,6,img/1/Curvy-69.png,1,171,1,0
15378,Saw NP,-0.5,722,6,img/1/Curvy-60.png,1,164,0,0
15396,Saw NP,-0.5,722,6,img/1/Point-54.png,1,176,1,0
15524,Saw NP,-0.5,722,6,img/1/Curvy-39.png,1,173,1,0
15562,Saw NP,-0.5,722,6,img/1/Point-13.png,1,164,0,0
16142,Saw P,0.5,722,6,img/0/Curvy-8.png,1,175,0,0
16379,Saw P,0.5,722,6,img/0/Curvy-56.png,1,175,1,0
16894,Saw P,0.5,722,6,img/0/Point-80.png,0,147,0,1
16973,Saw P,0.5,722,6,img/0/Curvy-60.png,1,174,1,0
17031,Saw NP,-0.5,722,6,img/1/Curvy-47.png,1,173,0,0
17288,Saw NP,-0.5,722,6,img/1/Curvy-60.png,1,179,0,1
17551,Saw NP,-0.5,722,6,img/1/Point-13.png,1,173,0,1
17817,Saw P,0.5,722,6,img/0/Point-68.png,1,175,0,0
18034,Saw NP,-0.5,722,6,img/1/Point-18.png,1,175,0,0
18421,Saw P,0.5,722,6,img/0/Point-10.png,1,173,0,0
18491,Saw P,0.5,722,6,img/0/Point-29.png,1,163,0,0
18502,Saw P,0.5,722,6,img/0/Point-37.png,1,154,0,0
19059,Saw NP,-0.5,722,6,img/1/Point-11.png,1,170,0,0
19111,Saw NP,-0.5,722,6,img/1/Curvy-14.png,1,155,1,0
19220,Saw NP,-0.5,722,6,img/1/Point-89.png,1,150,0,0
19632,Saw NP,-0.5,722,6,img/1/Curvy-32.png,1,177,0,0
19791,Saw P,0.5,722,6,img/0/Curvy-16.png,1,170,1,0
10453,Saw NP,-0.5,721,6,img/1/Point-71.png,1,171,0,0
10528,Saw NP,-0.5,721,6,img/1/Curvy-74.png,1,178,0,0
10567,Saw NP,-0.5,721,6,img/1/Point-55.png,1,175,0,0
10656,Saw P,0.5,721,6,img/0/Curvy-33.png,1,171,0,0
10785,Saw NP,-0.5,721,6,img/1/Point-82.png,1,172,0,0
10889,Saw NP,-0.5,721,6,img/1/Point-89.png,1,172,0,0
10897,Saw P,0.5,721,6,img/0/Point-7.png,1,159,1,0
10970,Saw NP,-0.5,721,6,img/1/Curvy-33.png,1,175,0,0
11056,Saw P,0.5,721,6,img/0/Curvy-11.png,1,171,0,0
11270,Saw NP,-0.5,721,6,img/1/Point-67.png,1,135,0,0
11327,Saw NP,-0.5,721,6,img/1/Curvy-63.png,1,177,0,0
11343,Saw NP,-0.5,721,6,img/1/Curvy-22.png,1,169,1,0
11373,Saw NP,-0.5,721,6,img/1/Curvy-39.png,1,177,1,0
11482,Saw NP,-0.5,721,6,img/1/Point-89.png,1,166,0,0
11498,Saw P,0.5,721,6,img/0/Curvy-15.png,1,172,0,0
11548,Saw P,0.5,721,6,img/0/Curvy-66.png,1,171,0,0
11657,Saw P,0.5,721,6,img/0/Curvy-40.png,1,174,0,0
11771,Saw P,0.5,721,6,img/0/Point-18.png,1,173,0,0
11798,Saw P,0.5,721,6,img/0/Point-4.png,1,168,0,0
11917,Saw NP,-0.5,721,6,img/1/Point-23.png,1,174,0,0
11938,Saw NP,-0.5,721,6,img/1/Curvy-35.png,1,176,1,0
11988,Saw P,0.5,721,6,img/0/Point-53.png,1,173,1,0
12132,Saw NP,-0.5,721,6,img/1/Point-55.png,1,164,0,0
12549,Saw NP,-0.5,721,6,img/1/Curvy-14.png,1,173,1,0
12642,Saw NP,-0.5,721,6,img/1/Curvy-19.png,1,166,1,0
12729,Saw P,0.5,721,6,img/0/Point-76.png,1,176,1,0
12773,Saw P,0.5,721,6,img/0/Point-22.png,1,168,0,0
12786,Saw P,0.5,721,6,img/0/Curvy-39.png,1,178,1,0
12852,Saw P,0.5,721,6,img/0/Point-33.png,1,169,0,0
13316,Saw P,0.5,721,6,img/0/Point-36.png,1,180,0,0
13382,Saw P,0.5,721,6,img/0/Curvy-44.png,1,168,1,0
13420,Saw P,0.5,721,6,img/0/Curvy-36.png,1,177,1,0
13500,Saw P,0.5,721,6,img/0/Curvy-49.png,1,176,1,0
13545,Saw P,0.5,721,6,img/0/Point-70.png,1,176,0,1
13702,Saw P,0.5,721,6,img/0/Point-36.png,1,167,1,0
14018,Saw NP,-0.5,721,6,img/1/Curvy-14.png,1,168,1,0
14085,Saw P,0.5,721,6,img/0/Point-44.png,1,176,0,0
14155,Saw P,0.5,721,6,img/0/Curvy-76.png,1,173,0,0
14244,Saw P,0.5,721,6,img/0/Curvy-87.png,1,172,0,0
14326,Saw NP,-0.5,721,6,img/1/Point-73.png,1,144,1,0
14332,Saw NP,-0.5,721,6,img/1/Point-68.png,1,175,1,0
14663,Saw NP,-0.5,721,6,img/1/Curvy-4.png,1,167,0,0
14845,Saw NP,-0.5,721,6,img/1/Point-11.png,1,179,0,0
15731,Saw NP,-0.5,721,6,img/1/Point-68.png,1,171,1,0
15738,Saw NP,-0.5,721,6,img/1/Point-30.png,1,172,0,0
15767,Saw P,0.5,721,6,img/0/Curvy-88.png,1,172,1,1
15838,Saw P,0.5,721,6,img/0/Curvy-14.png,1,175,1,0
15842,Saw P,0.5,721,6,img/0/Curvy-27.png,1,171,1,0
16113,Saw NP,-0.5,721,6,img/1/Point-32.png,1,175,1,0
16242,Saw P,0.5,721,6,img/0/Curvy-18.png,1,176,0,0
16304,Saw NP,-0.5,721,6,img/1/Curvy-3.png,1,167,0,0
16386,Saw NP,-0.5,721,6,img/1/Curvy-58.png,1,175,1,0
16739,Saw P,0.5,721,6,img/0/Curvy-43.png,1,170,0,0
16837,Saw P,0.5,721,6,img/0/Point-45.png,1,173,1,0
16970,Saw NP,-0.5,721,6,img/1/Curvy-61.png,1,174,0,0
17006,Saw NP,-0.5,721,6,img/1/Point-17.png,1,174,0,0
17096,Saw NP,-0.5,721,6,img/1/Curvy-43.png,1,172,1,0
17433,Saw P,0.5,721,6,img/0/Point-76.png,1,174,1,0
17613,Saw P,0.5,721,6,img/0/Point-65.png,1,178,0,0
17788,Saw NP,-0.5,721,6,img/1/Curvy-7.png,1,176,0,0
17919,Saw NP,-0.5,721,6,img/1/Point-80.png,1,174,1,0
17939,Saw NP,-0.5,721,6,img/1/Point-28.png,1,160,0,0
